Название,Нижняя граница зарплаты,Верхняя граница зарплаты,Валюта
Аналитик данных (SQL / Excel / Power BI),70000,100000,RUR
Python junior,,100000,RUR
Разработчик Python,,,
Python Developer,,,
Junior программист Python,60000,,RUR
DevOps engineer,,,
Python разработчик,150000,,RUR
Разработчик (Python),,,
Junior Python Developer/DevOps,,,
Web-разработчик,80000,,RUR
Разработчик фронтенда,90000,,RUR
Стажер-программист Python,,,
Инженер по тестированию,,,
Python\SQL Developer,,70000,RUR
Стажер аналитик / разработчик (SQL / Python),,,
Junior Python Разработчик,,165000,RUR
Backend Developer (Python/FAST API),,,
Бэкенд-разработчик Python (middle),130000,190000,RUR
Middle Python Developer,250000,350000,RUR
Python developer,,8000,USD
Junior Blockchain Developer,250000,,RUR
Стажер-разработчик Python,,,
Python-разработчик (Junior),,,
ML Python Developer (Разработчик Python в области машинного обучения),200000,,RUR
Аналитик Данных,,,
Разработчик Python(RuPost),,,
Backend-разработчик (python),,,
Стажер-разработчик Python,,,
Младший Data-инженер,103000,,RUR
Сетевой инженер,250000,,RUR
Junior Backend Developer (Python и SQL),50000,70000,RUR
Программист Python,,,
Программист-разработчик,70000,,RUR
"Python developer, remote",2100,2600,USD
Middle+ Data Engineer,,430000,RUR
Python developer (remote),,,
Тестировщик ПО (desktop),50000,90000,RUR
Python developer,,,
Python-разработчик,120000,150000,RUR
QA Engineer,,,
Python-разработчик,,,
Python\Golang разработчик,,,
Junior Quantitative Researcher,150000,250000,RUR
Тестировщик ПО,,,
Специалист по тестированию/Тестировщик,,,
Support engineer,,,
Python разработчик,,150000,RUR
Junior/Junior+ computer vision,,,
Backend разработчик,,,
Программист,250000,,RUR
Project manager Junior,70000,,RUR
Python разработчик,60000,110000,RUR
Python-разработчик,,,
Руководитель отдела IT,150000,,RUR
Программист-разработчик Python,,,
Python developer/Backend разработчик (middle),,,
Backend разработчик (Python),,,
Middle Backend Python программист,,,
Python Developer (remote),,,
Backend разработчик (Python),,,
ML-разработчик,150000,,RUR
Разработчик PL SQL,150000,300000,RUR
Lead Python developer,370000,740000,RUR
Разработчик Python,,300000,RUR
Аналитик (junior),,,
Хемоинформатик,200000,250000,RUR
Руководитель отдела разработки,,,
DevOps - инженер,,,
Python-разработчик / Python Developer,,,
Project Manager/Product manager,4000,,EUR
Тестировщик ПО,140000,170000,RUR
Python Backend developer,,195000,RUR
Middle python разработчик,,,
Python-разработчик,,425000,RUR
Front-end разработчик,,,
Data Engineer (Parsing),,300000,RUR
Python - разработчик,250000,330000,RUR
Младший Web-разработчик,100000,,RUR
Middle backend python developer,,,
Python backend developer,,,
Продуктовый аналитик,,,
Инженер по тестированию ПО,,,
Разработчик ГИС,,,
Middle/Senior QA Automation (Backend),2000,,USD
Инженер QA (ОС),,,
Программист Python,120000,300000,RUR
Python backend developer (junior/intern),33500,,RUR
Менеджер по подбору персонала,80000,150000,RUR
Front-end React-разработчик,,,
Middle Python Developer,200000,250000,RUR
Middle Python разработчик,,,
Программист-лингвист,,,
Программист Python (Team Lead),,,
Python Developer,,,
"Backend-developer (Python, Middle)",,,
Python разработчик,,,
Python разработчик (middle),,180000,RUR
Фронтенд-разработчик со знанием ReactJS и TypeScript,140000,200000,RUR
Разработчик python middle +/ FastAPI,,,
Project manager Junior,60000,,RUR
Senior С++ developer,,600000,RUR
Разработчик С++ (Junior),,130000,RUR
Программист,,,
Middle C++ Engineer,300000,450000,RUR
Программист С++,80000,,RUR
Инженер-программист микроконтроллеров,,,
UE разработчик,200000,,RUR
Research Scientist – Applied Mathematics (Научный сотрудник - Прикладная математика),,,
Программист C++ (Qt),150000,,RUR
Программист-разработчик Unreal Engine (Blueprints),,100000,RUR
Unreal Engine developer,100000,,RUR
Системный программист,5000,7000,USD
Программист C/С++ (Junior),,,
Middle Qt/C++ Developer,70000,120000,RUR
Embedded-программист stm32,150000,,RUR
С++ разработчик,,,
Ведущий разработчик С++,,500000,RUR
Разработчик С++ (IoT lab),,,
С++/UE Developer (Offroad Driving Simulator),,,
Программист С/C++ (middle),200000,250000,RUR
С++ разработчик,,450000,RUR
Rust Developer,150000,400000,RUR
Специалист отдела информационной безопасности,150000,200000,RUR
Ведущий программист,200000,350000,RUR
Senior Qt/C++ Desktop Developer,250000,,RUR
Senior C++ Developer,7500,11000,EUR
Разработчик нейронных сетей / машинного зрения,300000,,RUR
Программист С++,150000,300000,RUR
Программист микроконтроллеров (embedded - разработчик),,,
Unreal Developer,,100000,RUR
Старший инженер-разработчик,,,
Инженер-электроник/Инженер-электронщик/Инженер-программист,,,
Junior Embedded developer,,150000,RUR
Разработчик микроконтроллеров на базе РЭА,,,
Программист C/C++,190000,259000,RUR
Senior C++ Engineer,450000,600000,RUR
Инженер-программист С++,120000,150000,RUR
"Старший С++ разработчик (Лимасcол, Кипр)",5500,7000,EUR
Computer Vision Developer,,,
Multimedia Software Developer,,,
Senior iOS Engineer (VIDS),,,
Программист С++,250000,300000,RUR
Инженер-программист,150000,200000,RUR
Unreal Engine Developer / Visual Artist,,,
Разработчик С++ (Команда Эквайринг),180000,220000,RUR
Программист микроконтроллеров (embedded),150000,250000,RUR
Инженер-программист микроконтроллеров (начинающий специалист),80000,,RUR
Инженер-программист микроконтроллеров,125000,,RUR
Embedded/bare metal Developer,,,
Программист микроконтроллеров / Embedded software developer,,,
Тестировщик 1С,,,
Инженер-программист (Linux),,,
Лаборант-программист микроконтроллеров,100000,150000,RUR
Программист C/C++,,,
Инженер-программист 2-3 категории (техническое зрение),,,
Программист по автоматическим системам управления летательными аппаратами,,,
Инженер-программист (jun+/middle),120000,,RUR
"Программист С++/Qt, junior",80000,120000,RUR
Инженер-программист С++,100000,,RUR
Hardware developer (Senior),,,
Middle C++ Developer | Разработчик C++,,,
Senior С++ разработчик (IoT lab),,,
Разработчик С,,200000,RUR
Инженер-программист / Embedded-разработчик (Москва),180000,,RUR
Senior C++ Developer,4000,5000,USD
Программист С++ (спецэффекты),,,
С++ разработчик,,,
Linux Kernel Developer/Инженер-разработчик C,,,
Rust/C++ developer (Membrana),,,
C++ developer AdTech,250000,,RUR
Инженер-программист микроконтроллеров (embedded),120000,150000,RUR
(Senior-) Research Scientist in Multiphase Flow Modelling,,,
Разработчик на Go в Главную страницу Яндекса,,,
Разработчик QT (RnD SberOS),,,
Senior С++ разработчик (IoT lab),,,
Mathematician,180000,300000,RUR
Golang разработчик (EDR),,,
Разработчик Node.js,140000,180000,RUR
Программист C/C++,,,
Инженер-программист,170000,,RUR
Middle/Senior C++ разработчик [ИРТЕЯ],,,
Golang разработчик в Платформу баз данных,,,
Инженер-программист 1 категории/С++,,,
Разработчик С++ (UI),,,
Инженер-разработчик встраиваемых систем,110000,190000,RUR
Инженер-программист,,,
Reverse Engineer (Berlin),7500,10000,EUR
Embedded systems developer,,,
Инженер-программист микроконтроллеров / Embedded software developer (Linux),160000,,RUR
Инженер-программист С++ (QT),,,
Senior С++ разработчик [Команда разработки ПО сетевого оборудования],,,
"Разработчик встраиваемого программного обеспечения на С/С++ (работа в офисе, м. Савеловская)",250000,250000,RUR
Senior C++ Developer,,,
Младший программист C/C++ (1720),60000,,RUR
Senior IOS-разработчик в команду инфраструктуры,,,
Инженер-программист микроконтроллеров (Embedded),,250000,RUR
Разработчик С++ (Геометрия и сеточные технологии),,,
Старший инженер-программист C/C++,,,
Программист - разработчик C/C++,,,
Руководитель разработки программного обеспечения,,250000,RUR
Ведущий программист Java (удалённо),,,
One day offer: Java разработчик,,,
